Image,Name,DMG,SPD,PWR,BDMG 0,BDMG 1,BDMG 2,BDMG 3,HDMG 0,HDMG 1,HDMG 2,HDMG 3,Spread Base,Aim Mod,ADS Mod,Fire Base,Crouch Mod,Prone Mod,Walk Mod,Run Mod,Jump Mod,Base,Base Aim,Base ADS,Recoil Gain,Recoil Gain Aim,Recoil Gain ADS,Max Limit,Move Modifier,Velocity Reference,Prone Mode,Vert Clamp,Vert Speed,Recovery Clamp,Recovery Max,Recovery Mod,HOR Speed,HOR Tendency,Left Max,Right Max,Recoil Speed,Recovery Speed,Pattern Scale,Value Climb,Value Fall,Sway Pitch,Sway Yaw,Sway Movement,DOF Range,DOF Near Range,DOF Power,Pickup Delay,Ready Delay
 ,P1911,41.0,250 m/s,6000.0,40.60,28.40,24.30,18.20,81.20,56.80,48.70,36.50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,P92,35.0,380 m/s,7000.0,34.50,24.20,20.70,15.50,69.10,48.40,41.40,31.10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,PP-19 Bizon,35.0,408 m/s, ,35,24.50,21,15.70,63,44,37.80,28.30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBU,48.0,945 m/s,10000.0,50.40,35.20,30.20,22.60,112.80,78.90,67.60,50.70, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBZ95,43.0,870 m/s,9000.0,43,30.10,25.80,19.30,101,70.70,60.60,45.40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,R1895,55.0,330 m/s,8000.0,54.80,38.30,32.80,24.60,109.60,76.70,65.70,49.30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,R45,55.0,330 m/s,8000.0,54.80,38.30,32.80,24.60,109.60,76.70,65.70,49.30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,S12K,22.0,350 m/s,5000.0,31.40Ã9,22Ã9,18.80Ã9,14.10Ã9,20.90Ã9,14.60Ã9,12.50Ã9,9.40Ã9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,S1897,24.0,360 m/s,5000.0,22.70Ã9,15.90Ã9,13.60Ã9,10.20Ã9,34.10Ã9,23.90Ã9,20.50Ã9,15.30Ã9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,S686,24.0,370 m/s,5000.0,23.10Ã9,16.20Ã9,13.80Ã9,10.40Ã9,34.70Ã9,24.30Ã9,20.80Ã9,15.60Ã9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,SCAR-L,43.0,870 m/s,9000.0,43,30.10,25.80,19.30,101,70.70,60.60,45.40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,SKS,53.0,800 m/s,20000.0,55.60,38.90,33.30,25,124.50,87.10,74.70,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,SLR,58.0,840 m/s,20000.0,60.90,42.60,36.50,27.40,136.3,95.4,81.7,61.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Sawed-off,20.0, , ,19.90Ã8,13.90Ã8,11.90Ã8,8.90Ã8,29.80Ã8,20.90Ã8,17.90Ã8,13.40Ã8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Skorpion,22.0,350 m/s,5000.0,22,15.40,13.20,9.90,44,30.80,26.40,19.80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Smoke Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Stun Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Tommy Gun,40.0,280 m/s,7000.0,40,28,24,18,72,50.40,43.10,32.40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,UMP45,39.0,400 m/s,7000.0,39,27.30,23.40,17.50,70.20,49.10,42.10,31.50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,VSS Vintorez,41.0,330 m/s,20000.0,43,30.10,25.80,19.30,96.30,67.40,57.80,43.30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Vector,31.0,350 m/s,7000.0,31,21.70,18.50,13.90,55.80,39,33.40,25.10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Winchester  Model 1894,66.0,760 m/s,16000.0,72.60,50.80,43.50,32.60,165,115.40,99,74.20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,AKM, , , , , , , , , , , ,6.00,0.15,0.025,9,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,AUG A3, , , , , , , , , , , ,4.00,0.13,0.02,9.00,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,AWM, , , , , , , , , , , ,7.50,0.40,0.004,12.5,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Beryl M762, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,C4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Crossbow, , , , , , , , , , , ,0.07,0.07,0.001,8.50,0.20,2.00,5.00,15.00,1.50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,DP-28, , , , , , , , , , , ,6.00,0.15,0.025,9.00,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Deagle, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Flare Gun, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Frag Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,G36C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Groza, , , , , , , , , , , ,6.00,0.15,0.025,9,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Karabiner 98  Kurz, , , , , , , , , , , ,8.00,0.10,0.007,13.5,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,M16A4, , , , , , , , , , , ,5.00,0.15,0.02,8.50,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,M249, , , , , , , , , , , ,8.00,0.15,0.05,10.00,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,M416, , , , , , , , , , , ,4.00,0.14,0.02,8.50,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,MP5K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Micro UZI, , , , , , , , , , , ,4.50,0.10,0.04,17,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Mini 14, , , , , , , , , , , ,5,0.15,0.02,8.50,0.50,0.20,2,5,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Mk14 EBR, , , , , , , , , , , ,7.00,0.15,0.01,9,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Mk47 Mutant, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Molotov Cocktail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,P18C, , , , , , , , , , , ,3.50,0.35,0.08,12,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,P1911, , , , , , , , , , , ,3.00,0.20,0.05,10.00,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,P92, , , , , , , , , , , ,2.50,0.20,0.05,10,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,PP-19 Bizon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBU, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBZ95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,R1895, , , , , , , , , , , ,3.50,0.20,0.05,20.00,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,R45, , , , , , , , , , , ,3.50,0.20,0.05,20.00,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,S12K, , , , , , , , , , , ,6.00,0.05,0.03,0,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,S1897, , , , , , , , , , , ,5.50,0.05,0.25,0,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,S686, , , , , , , , , , , ,5.00,0.10,0.75,0,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,SCAR-L, , , , , , , , , , , ,4.00,0.13,0.02,9,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,SKS, , , , , , , , , , , ,7.00,0.15,0.01,9,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,SLR, , , , , , , , , , , ,7,0.15,0.01,9,-,-,-,-,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Sawed-off, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Skorpion, , , , , , , , , , , ,5.50,0.20,0.05,20,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Smoke Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Stun Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Tommy Gun, , , , , , , , , , , ,4.50,0.14,0.05,10,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,UMP45, , , , , , , , , , , ,5.50,0.20,0.05,20,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,VSS Vintorez, , , , , , , , , , , ,7.00,0.15,0.01,9,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Vector, , , , , , , , , , , ,4.50,0.14,0.05,10,0.50,0.20,2.00,5.00,15.00, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Winchester  Model 1894, , , , , , , , , , , ,-,-,-,-,-,-,-,-,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,AKM, , , , , , , , , , , , , , , , , , , , ,3.10,1.40,0.02,1.40,0.90,0.022,8.00,0 - 3.5,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,AUG A3, , , , , , , , , , , , , , , , , , , , ,3.00,1.20,0.01,1.30,0.80,0.02,8.00,0 - 3.00,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,AWM, , , , , , , , , , , , , , , , , , , , ,4.00,2.40,0.001,1.30,0.80,0.01,8.00,0 - 2.50,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,Beryl M762, , , , , , , , , , , , , , , , , , , , ,3.1,1.4,0.02,1.4,0.9,0.022,8,3.5,300, , , , , , , , , , , , , , , , , , , , , , , 
 ,C4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Crossbow, , , , , , , , , , , , , , , , , , , , ,1.50,1.00,0.60,0.01,2.00,0 - 3,0 - 150,0.80,0.60,5.00, , , , , , , , , , , , , , , , , , , , , , 
 ,DP-28, , , , , , , , , , , , , , , , , , , , ,3.10,1.40,0.02,1.40,0.90,0.022,8.00,3.50,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,Deagle, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Flare Gun, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Frag Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,G36C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Groza, , , , , , , , , , , , , , , , , , , , ,3.10,1.40,0.01,1.45,0.90,0.012,8.00,0 - 3.50,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,Karabiner 98  Kurz, , , , , , , , , , , , , , , , , , , , ,3.70,1.30,0.005,1.30,0.80,0.02,8.00,0 - 2.50,0 - 150,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,M16A4, , , , , , , , , , , , , , , , , , , , ,3.10,1.30,0.01,1.30,0.80,0.02,8.00,0 - 3.2,0-300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,M249, , , , , , , , , , , , , , , , , , , , ,3.10,1.10,0.01,1.30,0.80,0.02,10.00,0 - 3.2,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,M416, , , , , , , , , , , , , , , , , , , , ,3.10,1.35,0.01,1.30,0.80,0.02,8.00,0 - 3.20,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,MP5K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Micro UZI, , , , , , , , , , , , , , , , , , , , ,2.10,1.30,0.06,1.20,0.60,0.15,7.00,0 - 2,150 - 400,0.65, , , , , , , , , , , , , , , , , , , , , , 
 ,Mini 14, , , , , , , , , , , , , , , , , , , , ,3.50,1.20,0.003,1.30,0.80,0.03,8,0 - 3.40,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,Mk14 EBR, , , , , , , , , , , , , , , , , , , , ,3.50,1.60,0.01,1.70,0.90,0.02,8.00,0 - 3.5,0 - 300,0.70, , , , , , , , , , , , , , , , , , , , , , 
 ,Mk47 Mutant, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Molotov Cocktail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,P18C, , , , , , , , , , , , , , , , , , , , ,2.50,1.50,0.03,0.80,0.33,0.03,4.00,0 - 1.5,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,P1911, , , , , , , , , , , , , , , , , , , , ,2.50,1.50,0.02,0.80,0.38,0.03,4.00,0 - 1.50,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,P92, , , , , , , , , , , , , , , , , , , , ,2.50,1.50,0.03,0.80,0.33,0.03,4.00,0 - 0.15,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,PP-19 Bizon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBU, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,QBZ95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,R1895, , , , , , , , , , , , , , , , , , , , ,2.70,1.50,0.03,0.80,0.70,0.03,4.00,0 - 1.50,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,R45, , , , , , , , , , , , , , , , , , , , ,2.70,1.50,0.03,0.80,0.70,0.03,4.00,0 - 1.50,160 - 480,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,S12K, , , , , , , , , , , , , , , , , , , , ,1.50,0.80,0.01,1.00,0.60,0.50,7.00,0 - 2,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,S1897, , , , , , , , , , , , , , , , , , , , ,1.50,0.90,0.01,1.00,0.60,0.01,7.00,0 - 2,0 - 400,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,S686, , , , , , , , , , , , , , , , , , , , ,1.50,0.90,0.01,1.00,0.60,0.01,7.00,0 - 2.00,0 - 400,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,SCAR-L, , , , , , , , , , , , , , , , , , , , ,3.0,1.20,0.01,1.30,0.80,0.02,8.00,0 - 3,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,SKS, , , , , , , , , , , , , , , , , , , , ,3.10,1.40,0.068,1.40,0.90,0.022,8.00,0 - 3.5,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,SLR, , , , , , , , , , , , , , , , , , , , ,3.5,1.6,0.005,1.7,0.9,0.022,8,3.5,300,0.7, , , , , , , , , , , , , , , , , , , , , , 
 ,Sawed-off, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Skorpion, , , , , , , , , , , , , , , , , , , , ,2.5,2.2,0.2,1.20,0.85,0.15,7.00,2.00,150 - 400,0.69, , , , , , , , , , , , , , , , , , , , , , 
 ,Smoke Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Stun Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Tommy Gun, , , , , , , , , , , , , , , , , , , , ,2.25,1.80,0.07,1.20,0.65,0.15,7.00,0 - 2,150 - 400,0.65, , , , , , , , , , , , , , , , , , , , , , 
 ,UMP45, , , , , , , , , , , , , , , , , , , , ,2.30,2.00,0.20,1.00,0.85,0.15,7.00,0 - 2,150 - 400,0.69, , , , , , , , , , , , , , , , , , , , , , 
 ,VSS Vintorez, , , , , , , , , , , , , , , , , , , , ,3.10,1.40,0.05,1.40,0.90,0.02,8.00,0 - 3.5,0 - 300,0.60, , , , , , , , , , , , , , , , , , , , , , 
 ,Vector, , , , , , , , , , , , , , , , , , , , ,2.10,1.40,0.48,1.00,0.80,0.33,10.00,0 - 2.5,50 - 220,0.65, , , , , , , , , , , , , , , , , , , , , , 
 ,Winchester  Model 1894, , , , , , , , , , , , , , , , , , , , ,-,-,-,-,-,-,-,-,-,-, , , , , , , , , , , , , , , , , , , , , , 
 ,AKM, , , , , , , , , , , , , , , ,0.84,0.60, , , , , , , , , , , , , ,0.05 - 8.00,15.00,9.50,15.00,0.55,12.00,- 0.10,- 0.60,0.60,12.00,6.00,0.73,0.65,2.10, , , , , , , , 
 ,AUG A3, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0 - 7.00,14.00,10.00,15.00,0.50,11.20,-0.03,-0.70,0.70,12.00,6.00,0.70,0.72,2.30, , , , , , , , 
 ,AWM, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0 - 7.00,15.00,8.00,15.00,0.60,7.00,0.10,-0.80,0.80,19.00,4.00,0.50,0.70,3.00, , , , , , , , 
 ,Beryl M762, , , , , , , , , , , , , , , ,0.88,0.7, , , , , , , , , , , , , , ,15,4.5,2,0.55,10, , , , ,8.2, ,0.7,2.15, , , , , , , , 
 ,C4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Crossbow, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,8.00,0.50,5.00,8.00,0.50,5.00,0.00,-1.00,1.00,8.00,3.00,0.52,1.00,1.00, , , , , , , , 
 ,DP-28, , , , , , , , , , , , , , , ,0.60,0.15, , , , , , , , , , , , , ,0.05 - 8.00,15.00,5.00,9.00,0.55,12.00,-0.10,-0.62,0.62,12.00,6.00,0.73,0.65,2.10, , , , , , , , 
 ,Deagle, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Flare Gun, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Frag Grenade, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,G36C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,Groza, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.05 - 8,14.00,9.50,15.00,0.55,11.00,0.00,- 0.65,0.65,12.00,6.00,0.73,0.65,2.10, , , , , , , , 
 ,Karabiner 98  Kurz, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0 - 7.00,15.00,8.00,15.00,0.60,7.00,+0.10,-0.80,0.80,19.00,4.00,0.40,0.70,3.00, , , , , , , , 
 ,M16A4, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.05 - 7,11.00,9.50,15.00,0.52,11.00,+0.00,-0.55,0.55,12.00,5.00,0.71,0.80,2.20, , , , , , , , 
 ,M249, , , , , , , , , , , , , , , ,0.40,0.20, , , , , , , , , , , , , ,0.05 - 7.00,15.00,5.50,20.00,0.60,10.00,+0.00,-0.50,0.50,12.00,6.00,0.75,0.75,2.10, , , , , , , , 
 ,M416, , , , , , , , , , , , , , , ,0.80,0.60, , , , , , , , , , , , , ,0.05 - 7,15.00,9.50,15.00,0.50,10.00,-0.10,-0.75,0.75,12.00,6.00,0.70,0.70,2.10, , , , , , , , 
 ,MP5K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
